"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Florida","FL",21628,571,3060,609,72,227
"2020-04-15","Florida","FL",22511,596,3344,883,25,284
"2020-04-16","Florida","FL",23343,668,3460,832,72,116
"2020-04-17","Florida","FL",24759,725,3665,1416,57,205
"2020-04-18","Florida","FL",25492,748,3842,733,23,177
"2020-04-19","Florida","FL",26314,774,3930,822,26,88
"2020-04-20","Florida","FL",27059,822,4010,745,48,80
"2020-04-21","Florida","FL",27869,867,4235,810,45,225
"2020-04-22","Florida","FL",28309,893,4469,440,26,234
"2020-04-23","Florida","FL",29648,987,4693,1339,94,224
"2020-04-24","Florida","FL",30533,1046,5009,885,59,316
"2020-04-25","Florida","FL",30839,1055,5045,306,9,36
"2020-04-26","Florida","FL",31532,1075,5155,693,20,110
"2020-04-27","Florida","FL",32138,1088,5211,606,13,56
"2020-04-28","Florida","FL",32848,1171,5266,710,83,55
"2020-04-29","Florida","FL",33193,1218,5624,345,47,358
"2020-04-30","Florida","FL",33690,1268,5795,497,50,171
"2020-05-01","Florida","FL",34728,1314,5795,1038,46,0
"2020-05-02","Florida","FL",35463,1364,5945,735,50,150
"2020-05-03","Florida","FL",36078,1379,6244,615,15,299
"2020-05-04","Florida","FL",36897,1399,6329,819,20,85
"2020-05-05","Florida","FL",37439,1471,6546,542,72,217
"2020-05-06","Florida","FL",38002,1539,6776,563,68,230
"2020-05-07","Florida","FL",38828,1600,6990,826,61,214
"2020-05-08","Florida","FL",39199,1669,7157,371,69,167
"2020-05-09","Florida","FL",40001,1715,7325,802,46,168
"2020-05-10","Florida","FL",40596,1721,7404,595,6,79
"2020-05-11","Florida","FL",40982,1735,7458,386,14,54
"2020-05-12","Florida","FL",41923,1779,7654,941,44,196
"2020-05-13","Florida","FL",42402,1827,7835,479,48,181
"2020-05-14","Florida","FL",43210,1875,7993,808,48,158
"2020-05-15","Florida","FL",44138,1917,7993,928,42,0
"2020-05-16","Florida","FL",44811,1964,8393,673,47,400
"2020-05-17","Florida","FL",45588,1973,8478,777,9,85
"2020-05-18","Florida","FL",46442,1997,8553,854,24,75
"2020-05-19","Florida","FL",46944,2052,8744,502,55,191
"2020-05-20","Florida","FL",47471,2096,8934,527,44,190
"2020-05-21","Florida","FL",48675,2144,9200,1204,48,266
"2020-05-22","Florida","FL",49451,2190,9372,776,46,172
"2020-05-23","Florida","FL",50127,2233,9567,676,43,195
"2020-05-24","Florida","FL",50867,2237,9638,740,4,71
"2020-05-25","Florida","FL",51746,2252,9681,879,15,43
"2020-05-26","Florida","FL",52255,2259,9740,509,7,59
"2020-05-27","Florida","FL",52634,2319,9899,379,60,159
"2020-05-28","Florida","FL",53285,2364,10056,651,45,157
