"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","South Dakota","SD",988,6,45,120,0,1
"2020-04-15","South Dakota","SD",1168,6,51,180,0,6
"2020-04-16","South Dakota","SD",1311,7,55,143,1,4
"2020-04-17","South Dakota","SD",1411,7,63,100,0,8
"2020-04-18","South Dakota","SD",1542,7,68,131,0,5
"2020-04-19","South Dakota","SD",1635,7,74,93,0,6
"2020-04-20","South Dakota","SD",1685,7,87,50,0,13
"2020-04-21","South Dakota","SD",1755,8,100,70,1,13
"2020-04-22","South Dakota","SD",1858,9,111,103,1,11
"2020-04-23","South Dakota","SD",1956,9,119,98,0,8
"2020-04-24","South Dakota","SD",2040,10,124,84,1,5
"2020-04-25","South Dakota","SD",2147,10,128,107,0,4
"2020-04-26","South Dakota","SD",2212,11,135,65,1,7
"2020-04-27","South Dakota","SD",2244,11,150,32,0,15
"2020-04-28","South Dakota","SD",2313,11,157,69,0,7
"2020-04-29","South Dakota","SD",2373,13,165,60,2,8
"2020-04-30","South Dakota","SD",2449,17,173,76,4,8
"2020-05-01","South Dakota","SD",2525,21,179,76,4,6
"2020-05-02","South Dakota","SD",2588,21,187,63,0,8
"2020-05-03","South Dakota","SD",2631,21,197,43,0,10
"2020-05-04","South Dakota","SD",2668,21,211,37,0,14
"2020-05-05","South Dakota","SD",2721,24,220,53,3,9
"2020-05-06","South Dakota","SD",2780,29,230,59,5,10
"2020-05-07","South Dakota","SD",2906,31,236,126,2,6
"2020-05-08","South Dakota","SD",3145,31,247,239,0,11
"2020-05-09","South Dakota","SD",3393,34,253,248,3,6
"2020-05-10","South Dakota","SD",3517,34,261,124,0,8
"2020-05-11","South Dakota","SD",3614,34,263,97,0,2
"2020-05-12","South Dakota","SD",3663,39,271,49,5,8
"2020-05-13","South Dakota","SD",3732,39,281,69,0,10
"2020-05-14","South Dakota","SD",3792,43,290,60,4,9
"2020-05-15","South Dakota","SD",3887,44,296,95,1,6
"2020-05-16","South Dakota","SD",3959,44,304,72,0,8
"2020-05-17","South Dakota","SD",3987,44,312,28,0,8
"2020-05-18","South Dakota","SD",4027,44,316,40,0,4
"2020-05-19","South Dakota","SD",4085,46,327,58,2,11
"2020-05-20","South Dakota","SD",4177,46,333,92,0,6
"2020-05-21","South Dakota","SD",4177,48,342,0,2,9
"2020-05-22","South Dakota","SD",4356,50,351,179,2,9
"2020-05-23","South Dakota","SD",4464,50,358,108,0,7
"2020-05-24","South Dakota","SD",4563,50,364,99,0,6
"2020-05-25","South Dakota","SD",4586,50,370,23,0,6
"2020-05-26","South Dakota","SD",4653,50,378,67,0,8
